Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
387,Jason Smith\smithja02,C,30,WAS,48,0,12.9,2.1,3.9,.529,0.1,0.4,.412,1.9,3.6,.541,.548,0.4,0.6,.704,0.9,2.2,3.1,0.4,0.3,0.7,0.8,2.4,4.7
388,Tony Snell\snellto01,SF,25,MIL,49,49,28.6,2.9,6.4,.453,1.7,4.3,.385,1.2,2.1,.592,.582,0.5,0.7,.750,0.3,3.0,3.3,1.2,0.5,0.2,0.6,1.7,8.0
389,Marreese Speights\speigma01,C,29,LAC,50,1,16.7,3.3,7.3,.451,1.4,3.5,.402,1.9,3.8,.495,.546,2.0,2.3,.877,1.2,3.6,4.8,0.9,0.3,0.5,0.7,3.0,10.0
390,Nik Stauskas\stausni01,SG,23,PHI,48,23,26.9,2.9,7.3,.402,1.5,4.1,.374,1.4,3.2,.438,.507,1.3,1.6,.821,0.2,2.3,2.5,2.1,0.5,0.5,1.4,1.9,8.8
391,Lance Stephenson\stephla01,SG,26,NOP,6,0,27.0,4.3,9.2,.473,0.2,1.7,.100,4.2,7.5,.556,.482,0.8,1.3,.625,0.5,2.5,3.0,4.8,0.3,0.2,1.8,3.0,9.7
392,Jarnell Stokes\stokeja01,PF,23,DEN,2,0,3.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.5,1.0,.500,0.5,0.5,1.0,1.0,0.5,0.0,0.0,1.5,1.5
393,Diamond Stone\stonedi01,C,19,LAC,5,0,4.0,0.6,2.2,.273,0.0,0.0,,0.6,2.2,.273,.273,0.8,0.8,1.000,0.2,0.6,0.8,0.0,0.0,0.2,0.2,1.0,2.0
394,Rodney Stuckey\stuckro01,PG,30,IND,18,0,19.9,3.0,6.9,.435,0.4,1.4,.308,2.6,5.4,.469,.468,2.6,3.5,.730,0.2,2.4,2.6,2.0,0.4,0.0,1.7,1.5,9.0
395,Jared Sullinger\sullija01,PF,24,TOR,8,1,12.6,1.9,5.8,.326,0.4,2.1,.176,1.5,3.6,.414,.359,0.5,1.0,.500,1.1,1.9,3.0,0.3,0.5,0.1,0.3,2.0,4.6
396,Walter Tavares\tavarwa01,C,24,ATL,1,0,4.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,2.0,.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
397,Jeff Teague\teaguje01,PG,28,IND,50,50,32.6,5.0,11.2,.452,0.9,2.8,.338,4.1,8.4,.489,.494,4.7,5.5,.852,0.5,3.7,4.1,8.2,1.5,0.5,2.9,2.2,15.7
398,Mirza Teletovic\teletmi01,PF,31,MIL,41,2,16.8,2.4,6.2,.391,1.6,4.6,.349,0.8,1.6,.507,.520,0.6,0.8,.788,0.2,2.2,2.5,0.8,0.1,0.2,0.7,1.7,7.1
399,Garrett Temple\templga01,SG,30,SAC,49,15,26.6,2.7,6.3,.436,1.2,3.2,.367,1.6,3.0,.510,.531,1.0,1.3,.790,0.6,2.1,2.7,2.3,1.2,0.4,1.0,2.2,7.7
400,Jason Terry\terryja01,SG,39,MIL,44,0,17.2,1.2,3.0,.388,0.9,2.2,.398,0.3,0.8,.361,.534,0.3,0.3,.857,0.2,1.0,1.2,1.4,0.6,0.3,0.5,1.1,3.5
401,Isaiah Thomas\thomais02,PG,27,BOS,46,46,34.5,9.4,20.0,.470,3.2,8.2,.388,6.2,11.8,.528,.550,7.9,8.6,.916,0.6,2.1,2.7,6.3,0.8,0.1,2.6,2.2,29.9
402,Lance Thomas\thomala01,PF,28,NYK,30,6,17.6,1.8,4.7,.379,0.7,1.6,.429,1.1,3.0,.352,.454,0.6,0.7,.850,0.5,1.4,1.9,0.5,0.5,0.1,0.5,1.7,4.8
403,Hollis Thompson\thompho01,SG,25,PHI,31,1,18.1,2.1,5.1,.415,0.8,2.3,.366,1.3,2.8,.455,.497,0.4,0.6,.650,0.5,2.2,2.7,0.8,0.5,0.2,0.3,1.8,5.5
404,Klay Thompson\thompkl01,SG,26,GSW,50,50,34.2,8.0,17.2,.464,3.1,7.7,.403,4.9,9.5,.514,.555,2.2,2.6,.848,0.7,3.2,3.9,2.0,0.8,0.5,1.8,1.8,21.4
405,Tristan Thompson\thomptr01,C,25,CLE,49,49,29.3,3.1,5.3,.575,0.0,0.1,.000,3.1,5.3,.581,.575,1.5,3.0,.503,3.7,6.0,9.6,0.8,0.6,1.2,0.8,2.4,7.6
406,Marcus Thornton\thornma01,SG,29,WAS,33,1,17.4,2.5,6.4,.400,0.8,2.4,.350,1.7,3.9,.431,.467,0.7,0.8,.852,0.7,1.6,2.3,1.2,0.6,0.1,0.8,1.5,6.6
407,Anthony Tolliver\tollian01,PF,31,SAC,39,5,22.5,2.3,5.1,.450,1.4,3.4,.406,0.9,1.7,.537,.585,1.1,1.3,.804,0.9,2.7,3.6,0.9,0.5,0.3,0.7,1.7,7.1
408,Karl-Anthony Towns\townska01,C,21,MIN,51,51,36.4,9.0,17.6,.509,1.2,3.4,.345,7.8,14.2,.548,.542,4.0,5.0,.810,3.5,8.5,12.0,3.0,0.6,1.5,2.7,3.0,23.1
