"","Team.Game","Player.Game","Date","Age","Tm","Where","Opp","Result","PointDiff","GS","MP","FG","FGA","FG.percent","3PM","3PA","3P.percent","FT","FTA","FT.percent","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","Plus.Minus","Playername"
"63",63,63,"2017-03-05","28-113","OKC","Away","DAL","L ",-15,1,"34:01",8,24,0.333,2,10,0.2,11,13,0.846,0,6,6,5,2,1,1,4,29,20,-14,"westbrook"
"64",64,64,"2017-03-07","28-115","OKC","Home","POR","L ",-5,1,"35:56",21,39,0.538,3,9,0.333,13,16,0.813,1,2,3,9,3,1,4,4,58,43.6,7,"westbrook"
"65",65,65,"2017-03-09","28-117","OKC","Home","SAS","W ",10,1,"35:08",7,21,0.333,1,6,0.167,8,9,0.889,3,10,13,13,2,0,3,2,23,23.1,12,"westbrook"
"66",66,66,"2017-03-11","28-119","OKC","Home","UTA","W ",8,1,"36:18",9,26,0.346,3,10,0.3,12,13,0.923,1,10,11,14,2,2,5,1,33,29.5,12,"westbrook"
"67",67,67,"2017-03-14","28-122","OKC","Away","BRK","W ",18,1,"34:42",6,18,0.333,2,7,0.286,11,13,0.846,1,11,12,19,2,1,5,3,25,27.8,7,"westbrook"
"68",68,68,"2017-03-16","28-124","OKC","Away","TOR","W ",21,1,"27:50",8,17,0.471,4,8,0.5,4,4,1,0,10,10,16,1,0,2,2,24,27.7,26,"westbrook"
"69",69,69,"2017-03-18","28-126","OKC","Home","SAC","W ",16,1,"35:59",9,20,0.45,4,9,0.444,6,7,0.857,3,5,8,10,4,0,7,1,28,24.4,13,"westbrook"
"70",70,70,"2017-03-20","28-128","OKC","Home","GSW","L ",-16,1,"27:13",4,16,0.25,1,6,0.167,6,7,0.857,0,8,8,7,2,0,5,4,15,7.7,-25,"westbrook"
"72",72,72,"2017-03-26","28-134","OKC","Away","HOU","L ",-12,1,"38:58",13,24,0.542,3,9,0.333,10,16,0.625,0,11,11,13,0,0,5,4,39,30.8,-14,"westbrook"
"73",73,73,"2017-03-27","28-135","OKC","Away","DAL","W ",1,1,"36:21",15,30,0.5,2,9,0.222,5,5,1,0,13,13,10,2,0,6,0,37,28.9,12,"westbrook"
"74",74,74,"2017-03-29","28-137","OKC","Away","ORL","W ",8,1,"41:49",21,40,0.525,6,15,0.4,9,11,0.818,3,10,13,11,3,0,7,3,57,44.2,8,"westbrook"
"75",75,75,"2017-03-31","28-139","OKC","Home","SAS","L ",-5,1,"36:59",8,22,0.364,2,7,0.286,14,15,0.933,2,13,15,12,0,0,8,1,32,24.7,-10,"westbrook"
"76",76,76,"2017-04-02","28-141","OKC","Home","CHO","L ",-12,1,"36:12",14,31,0.452,7,15,0.467,5,5,1,1,12,13,10,2,0,8,1,40,28.8,-6,"westbrook"
"77",77,77,"2017-04-04","28-143","OKC","Home","MIL","W ",31,1,"27:05",4,12,0.333,2,4,0.5,2,2,1,3,10,13,13,2,0,3,2,12,17.6,19,"westbrook"
"78",78,78,"2017-04-05","28-144","OKC","Away","MEM","W ",3,1,"37:32",14,25,0.56,8,13,0.615,9,12,0.75,0,9,9,10,4,0,7,4,45,37,2,"westbrook"
"79",79,79,"2017-04-07","28-146","OKC","Away","PHO","L ",-21,1,"36:24",6,25,0.24,2,12,0.167,9,9,1,6,6,12,8,0,1,8,5,23,10.2,-15,"westbrook"
"80",80,80,"2017-04-09","28-148","OKC","Away","DEN","W ",1,1,"36:57",17,32,0.531,5,12,0.417,11,11,1,2,14,16,10,1,0,2,1,50,45.6,10,"westbrook"
"83",1,1,"2016-10-26","27-061","HOU","Away","LAL","L ",-6,1,"37:11",9,19,0.474,1,7,0.143,15,16,0.938,3,4,7,17,1,0,7,5,34,31.1,10,"harden"
"84",2,2,"2016-10-28","27-063","HOU","Away","DAL","W ",8,1,"35:51",9,18,0.5,4,9,0.444,4,5,0.8,1,6,7,8,1,0,4,4,26,20.1,7,"harden"
"85",3,3,"2016-10-30","27-065","HOU","Home","DAL","W ",1,1,"38:37",8,23,0.348,3,9,0.333,9,12,0.75,1,6,7,8,1,0,8,4,28,13.4,1,"harden"
"86",4,4,"2016-11-01","27-067","HOU","Away","CLE","L ",-8,1,"38:10",13,20,0.65,5,9,0.556,10,14,0.714,1,6,7,15,1,0,1,3,41,42.4,10,"harden"
"87",5,5,"2016-11-02","27-068","HOU","Away","NYK","W ",19,1,"33:56",9,16,0.563,5,12,0.417,7,8,0.875,1,5,6,15,2,0,3,1,30,33.3,21,"harden"
"88",6,6,"2016-11-05","27-071","HOU","Away","ATL","L ",-15,1,"36:55",10,19,0.526,4,8,0.5,6,7,0.857,1,8,9,11,3,0,8,4,30,24.5,-8,"harden"
"89",7,7,"2016-11-07","27-073","HOU","Away","WAS","W ",8,1,"39:48",9,19,0.474,3,7,0.429,11,11,1,0,5,5,15,0,0,7,2,32,26.5,8,"harden"
"90",8,8,"2016-11-09","27-075","HOU","Away","SAS","W ",2,1,"40:50",9,19,0.474,1,5,0.2,5,7,0.714,2,10,12,15,1,0,8,1,24,21,12,"harden"
"91",9,9,"2016-11-12","27-078","HOU","Home","SAS","L ",-6,1,"38:56",7,18,0.389,2,9,0.222,9,11,0.818,5,6,11,13,0,0,7,1,25,21.4,1,"harden"
"92",10,10,"2016-11-14","27-080","HOU","Home","PHI","W ",27,1,"33:01",12,20,0.6,4,8,0.5,5,5,1,1,6,7,9,1,1,5,2,33,28.5,22,"harden"
"93",11,11,"2016-11-16","27-082","HOU","Away","OKC","L ",-2,1,"36:44",4,16,0.25,1,5,0.2,4,7,0.571,3,4,7,13,3,0,6,1,13,11.2,-5,"harden"
"94",12,12,"2016-11-17","27-083","HOU","Home","POR","W ",17,1,"31:37",7,17,0.412,3,8,0.375,9,11,0.818,1,11,12,14,3,0,4,3,26,27.7,23,"harden"
"95",13,13,"2016-11-19","27-085","HOU","Home","UTA","W ",9,1,"34:55",10,24,0.417,4,10,0.4,7,9,0.778,0,4,4,10,0,2,0,3,31,25.8,-2,"harden"
"96",14,14,"2016-11-21","27-087","HOU","Away","DET","W ",3,1,"37:38",6,17,0.353,2,9,0.222,14,19,0.737,2,6,8,11,0,1,6,2,28,21.3,6,"harden"
"97",15,15,"2016-11-23","27-089","HOU","Home","TOR","L ",-13,1,"40:32",7,13,0.538,3,8,0.375,12,12,1,0,6,6,15,2,0,12,4,29,23.4,-12,"harden"
"98",16,16,"2016-11-25","27-091","HOU","Away","SAC","W ",13,1,"39:59",6,18,0.333,3,11,0.273,8,8,1,1,8,9,10,0,0,5,2,23,17.1,10,"harden"
"99",17,17,"2016-11-27","27-093","HOU","Away","POR","W ",16,1,"34:29",11,22,0.5,5,12,0.417,11,13,0.846,1,1,2,10,2,1,5,3,38,30.7,8,"harden"
"100",18,18,"2016-11-29","27-095","HOU","Away","UTA","L ",-19,1,"35:08",8,23,0.348,2,6,0.333,8,10,0.8,3,2,5,7,2,0,2,3,26,18.7,-19,"harden"
"101",19,19,"2016-12-01","27-097","HOU","Away","GSW","W ",5,1,"45:48",8,23,0.348,2,11,0.182,11,14,0.786,1,14,15,13,2,1,7,4,29,23,-6,"harden"
"102",20,20,"2016-12-02","27-098","HOU","Away","DEN","W ",18,1,"33:15",6,16,0.375,1,5,0.2,7,8,0.875,1,6,7,9,1,1,5,3,20,15.1,12,"harden"
"103",21,21,"2016-12-05","27-101","HOU","Home","BOS","W ",1,1,"35:19",8,14,0.571,3,5,0.6,18,18,1,1,7,8,7,3,0,10,2,37,30.3,3,"harden"
"104",22,22,"2016-12-07","27-103","HOU","Home","LAL","W ",39,1,"29:47",8,14,0.571,4,7,0.571,5,6,0.833,0,6,6,7,4,0,4,0,25,24.7,19,"harden"
"105",23,23,"2016-12-09","27-105","HOU","Away","OKC","W ",3,1,"36:45",6,23,0.261,2,11,0.182,7,8,0.875,1,8,9,12,2,0,8,5,21,10.4,1,"harden"
"106",24,24,"2016-12-10","27-106","HOU","Home","DAL","W ",22,1,"39:55",4,12,0.333,2,8,0.25,8,10,0.8,0,9,9,16,2,0,4,1,18,21.9,20,"harden"
"107",25,25,"2016-12-12","27-108","HOU","Home","BRK","W ",4,1,"38:30",12,27,0.444,4,11,0.364,8,12,0.667,3,5,8,11,2,0,4,3,36,28.4,-2,"harden"
"108",26,26,"2016-12-14","27-110","HOU","Home","SAC","W ",34,1,"29:52",4,7,0.571,3,6,0.5,4,4,1,0,11,11,14,1,0,5,0,15,20.8,29,"harden"
"109",27,27,"2016-12-16","27-112","HOU","Home","NOP","W ",22,1,"33:50",7,15,0.467,6,12,0.5,9,11,0.818,2,9,11,13,0,0,4,2,29,28.9,14,"harden"
"110",28,28,"2016-12-17","27-113","HOU","Away","MIN","W ",2,1,"42:54",8,20,0.4,3,11,0.273,9,11,0.818,0,9,9,13,1,2,7,5,28,21.6,4,"harden"
"111",29,29,"2016-12-20","27-116","HOU","Home","SAS","L ",-2,1,"36:48",10,26,0.385,1,11,0.091,10,10,1,2,8,10,7,0,0,3,1,31,22.1,1,"harden"
"112",30,30,"2016-12-21","27-117","HOU","Away","PHO","W ",14,1,"34:46",8,18,0.444,5,11,0.455,6,8,0.75,1,4,5,14,1,0,2,1,27,27.1,4,"harden"
"113",31,31,"2016-12-23","27-119","HOU","Away","MEM","L ",-6,1,"36:11",6,13,0.462,2,6,0.333,2,3,0.667,1,6,7,17,1,0,9,5,16,13.3,11,"harden"
"114",32,32,"2016-12-26","27-122","HOU","Home","PHO","W ",16,1,"30:06",9,18,0.5,2,9,0.222,12,15,0.8,1,4,5,12,0,0,7,4,32,23.5,24,"harden"
"115",33,33,"2016-12-27","27-123","HOU","Away","DAL","W ",16,1,"29:57",9,16,0.563,4,7,0.571,12,12,1,2,3,5,11,0,1,7,2,34,29.3,13,"harden"
"116",34,34,"2016-12-30","27-126","HOU","Home","LAC","W ",24,1,"33:39",10,15,0.667,2,5,0.4,8,9,0.889,1,12,13,10,5,2,6,1,30,34.4,-1,"harden"
"117",35,35,"2016-12-31","27-127","HOU","Home","NYK","W ",7,1,"42:05",14,26,0.538,9,16,0.563,16,18,0.889,3,13,16,17,0,0,8,2,53,48.7,13,"harden"
"118",36,36,"2017-01-02","27-129","HOU","Home","WAS","W ",10,1,"42:04",6,24,0.25,2,11,0.182,9,10,0.9,1,9,10,10,3,0,6,1,23,15.2,14,"harden"
